NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS
189,MAT-CSV-00196,MSA,Helm Proyek MSA Lokal SNI,PCS,58479,DAYA TEKNIK JAKARTA,ACTIVE
190,MAT-CSV-00197,,Philips LED Downlight Multipack 13W 6500K,PACK,187985,DAYA TEKNIK JAKARTA,ACTIVE
191,MAT-CSV-00198,WD,"Cutting disc WD 4""x1.2mm",PACK,50255,DAYA TEKNIK JAKARTA,ACTIVE
192,MAT-CSV-00199,,Door Closer Interkey - Black,UNIT,105000,INDOMEGA ALUMUNIUM,ACTIVE
193,MAT-CSV-00200,,Kunci Lockise Glatino (201-Black),UNIT,105000,INDOMEGA ALUMUNIUM,ACTIVE
194,MAT-CSV-00201,,Dynabolt m10x80,PCS,1800,PANJI RIMBA TEKNIK,ACTIVE
195,MAT-CSV-00202,,B. Galvanis 16x50 bolt & nut,PCS,4100,PANJI RIMBA TEKNIK,ACTIVE
196,MAT-CSV-00203,,Dynabolt m10x105,PCS,2200,PANJI RIMBA TEKNIK,ACTIVE
197,MAT-CSV-00204,,"NYAF 1x1,5mm serabut ETERNA",ROLL,150000,TOKO TERANG,ACTIVE
198,MAT-CSV-00205,,"PIPA PVC 1/2"" AW untuk kabel dongjin",BATANG,50000,TOKO BERKAT,ACTIVE
199,MAT-CSV-00206,,Oxygen,TABUNG,75000,IWAN BANTEN MANDIRI,ACTIVE
200,MAT-CSV-00207,,Argon,TABUNG,250000,IWAN BANTEN MANDIRI,ACTIVE
201,MAT-CSV-00208,,"Kabel NYY 1x1,5 (50m)",ROLL,165000,TOKO TERANG,ACTIVE
202,MAT-CSV-00209,,"Ubolt 1/2"" kecil 3/8",PCS,3100,TOKO TERANG,ACTIVE
203,MAT-CSV-00210,,Plat CS Tebal 16mm 400x578x150x200,PCS,762000,PASS STEEL,ACTIVE
204,MAT-CSV-00211,,Plat CS Tebal 16mm 216x578x65x200,PCS,400000,PASS STEEL,ACTIVE
205,MAT-CSV-00212,,Plat CS Tebal 16mm 40x210x212x45,PCS,150000,PASS STEEL,ACTIVE
206,MAT-CSV-00213,,Plat CS Tebal 20mm 45x250,PCS,50000,PASS STEEL,ACTIVE
207,MAT-CSV-00214,,Plat CS Tebal 20mm 220x250,PCS,225000,PASS STEEL,ACTIVE
208,MAT-CSV-00215,,Dynabolt 12x90,PCS,2880,PANJI RIMBA TEKNIK,ACTIVE
209,MAT-CSV-00217,,Wastafel Triliun Lilac White,UNIT,335000,TB. MUTIARA INDAH,ACTIVE
210,MAT-CSV-00218,,Shower Onda SO 230,UNIT,180000,TB. MUTIARA INDAH,ACTIVE
211,MAT-CSV-00219,,Mata Bor Beton,PCS,48000,TB. MUTIARA INDAH,ACTIVE
212,MAT-CSV-00220,,Saringan air bawah wastafel,PCS,25000,TB. MUTIARA INDAH,ACTIVE
213,MAT-CSV-00221,,"Paku Rivet 4,8",BOX,65000,TB. MUTIARA INDAH,ACTIVE
214,MAT-CSV-00222,,Kran wastafel,PCS,135000,TB. MUTIARA INDAH,ACTIVE
215,MAT-CSV-00223,,Kran shower,PCS,45000,TB. MUTIARA INDAH,ACTIVE
216,MAT-CSV-00224,,"FLG 20"" JIS 5K (N - 1)",PCS,3350000,PT. KARSA INTI SEJIWA,ACTIVE
217,MAT-CSV-00225,,"BLIND FLG 20"" JIS 5K (N - 1)",PCS,8350000,PT. KARSA INTI SEJIWA,ACTIVE
218,MAT-CSV-00226,,"FLG 4"" JIS10K (N - 1)",PCS,340000,PT. KARSA INTI SEJIWA,ACTIVE
219,MAT-CSV-00227,,"FLG 12"" JIS10K (yg ready)",PCS,2950000,PT. KARSA INTI SEJIWA,ACTIVE
220,MAT-CSV-00228,,"BLIND FLG 12"" JIS 10k (yg ready)",PCS,7050000,PT. KARSA INTI SEJIWA,ACTIVE
221,MAT-CSV-00229,,"FLG 2"" JIS10K",PCS,200000,PT. KARSA INTI SEJIWA,ACTIVE
222,MAT-CSV-00230,,"PIPE 2"" X 500 MM SCH.80",BATANG,650000,PT. KARSA INTI SEJIWA,ACTIVE
223,MAT-CSV-00231,,"PIPE 2"" X 500 MM SCH.40",BATANG,260000,PT. KARSA INTI SEJIWA,ACTIVE
224,MAT-CSV-00232,,"PIPE 3"" X 500 MM SCH.80",BATANG,1118000,PT. KARSA INTI SEJIWA,ACTIVE
225,MAT-CSV-00233,,"PIPE 4"" X 500 MM SCH.40",BATANG,1660000,PT. KARSA INTI SEJIWA,ACTIVE
226,MAT-CSV-00234,,Eye nut m16,PCS,135000,PT. KARSA INTI SEJIWA,ACTIVE
227,MAT-CSV-00235,,UNP 200X90X6000 MM,BATANG,2010000,PT. KARSA INTI SEJIWA,ACTIVE
228,MAT-CSV-00236,,GLAND PACKIN 12 X 12 MM,PCS,55000,PT. KARSA INTI SEJIWA,ACTIVE
229,MAT-CSV-00238,,As Drat m16 x 1m,PCS,145000,PT. KARSA INTI SEJIWA,ACTIVE
230,MAT-CSV-00239,,"FLG 2"" JIS 10K SUS 304",PCS,189750,CV. ARDIAN AGUNG TEKNIK,ACTIVE
