NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
1706,MAT-CSV-01706,,LAKBAN BENING,PCS,13500,MUTIARA INDAH,ACTIVE,INSERTED
1707,MAT-CSV-01707,,"KUAS 4""",PCS,15000,MUTIARA INDAH,ACTIVE,INSERTED
1708,MAT-CSV-01708,,ALDERON TRIMDECK SINGLE LAYER WHITE,LEMBAR,414000,BINTANG BAJA MAKMUR,ACTIVE,INSERTED
1709,MAT-CSV-01709,,ROOFING 12x50,BOX,170250,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
1710,MAT-CSV-01710,,SILICON PUTIH,BOTOL,28000,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
1711,MAT-CSV-01711,,SEMEN,SAK,43000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1712,MAT-CSV-01712,,TRIPLEK 8MM,LEMBAR,95000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1713,MAT-CSV-01713,,BESI 10,BATANG,64000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1714,MAT-CSV-01714,,BESI 6,BATANG,30000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1715,MAT-CSV-01715,,KASO ALBA,IKET,80000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1716,MAT-CSV-01716,,SEMEN,SAK,43000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1717,MAT-CSV-01717,,KAWAT BENDRAT,KG,20000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1718,MAT-CSV-01718,,BENANG,ROLL,12000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1719,MAT-CSV-01719,,"PIPA RUCIKA 4"" D",BATANG,300000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1720,MAT-CSV-01720,,"ELBOW 4"" D",PCS,60000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1721,MAT-CSV-01721,,PAVING BLOCK 20x10x6 K-250,M2,60000,KALIGUJI PAVING,ACTIVE,INSERTED
1722,MAT-CSV-01722,,KANSTIN 40x20x10 K-250,PCS,15000,KALIGUJI PAVING,ACTIVE,INSERTED
1723,MAT-CSV-01723,,SEALENT SILICON HITAM,PCS,26000,MUTIARA INDAH,ACTIVE,INSERTED
1724,MAT-CSV-01724,,BUSA ATI 5MM 240X220,LEMBAR,110000,MUTIARA INDAH,ACTIVE,INSERTED
1725,MAT-CSV-01725,,SEMEN,SAK,43000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1726,MAT-CSV-01726,,PAVING BLOCK 20x10x6 K-250,M2,60000,PD. KALIGUJI REJO,ACTIVE,INSERTED
