code,jenis,name,satuan,harga,vendor
MT-2026-0128,,Benang Tukang,ROLL,12000,YANIS-DAMAN-LOKAL
MT-2026-0129,,Kikir,PCS,45000,YANIS-DAMAN-LOKAL
MT-2026-0130,,Kaso 4x6 duren,BATANG,37000,YANIS-DAMAN-LOKAL
MT-2026-0131,,"Sock drat dalam 1/2"" PVC",PCS,10000,YANIS-DAMAN-LOKAL
MT-2026-0132,,"Paku payung 7""",PACK,15000,YANIS-DAMAN-LOKAL
MT-2026-0133,,Balok 5x10,BATANG,67000,YANIS-DAMAN-LOKAL
MT-2026-0134,,Besi 10 Full,BATANG,140333,YANIS-DAMAN-LOKAL
MT-2026-0135,,Paku 4,KG,30000,YANIS-DAMAN-LOKAL
MT-2026-0136,,Besi 10 Full,BATANG,140600,YANIS-DAMAN-LOKAL
MT-2026-0137,,Besi 13 Ulir Full,BATANG,237120,YANIS-DAMAN-LOKAL
MT-2026-0138,,Besi 16 Ulir Full,BATANG,360240,YANIS-DAMAN-LOKAL
MT-2026-0139,,Sandwich Panel Dinding 270x60x5,LEMBAR,320000,PT ARTHA BETON
MT-2026-0140,14 x 14 Natural,Paving Alstad 4,M2,135000,PT. CISANGKAN
MT-2026-0141,7 x 21 Natrural,Paving Alstad 5,M2,135000,PT. CISANGKAN
MT-2026-0142,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),BOX,136000,PD. PANJI RIMBA TEKNIK
MT-2026-0143,SDS - KARET,Roofing Kuning SDS 12x75 (300pcs),BOX,189000,PD. PANJI RIMBA TEKNIK
MT-2026-0144,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",ROLL,710000,TOKO SEMI CILEGON
MT-2026-0145,TC-4 NICHI,Kabel duct TC-4 NICHI,BATANG,10000,TOKO SEMI CILEGON
MT-2026-0146,BROCO,Stop kontak 4 lubang Broco,PCS,45000,TOKO SEMI CILEGON
MT-2026-0147,BROCO,Steker Broco,PCS,11000,TOKO SEMI CILEGON
MT-2026-0148,3M,Rubber 3M,PCS,95000,TOKO SEMI CILEGON
MT-2026-0149,KITANI,"Kabel Power NYAF 1 x 1,5",ROLL,215000,TOKO SEMI CILEGON
MT-2026-0150,,Kabel Ties,PACK,8000,TOKO SEMI CILEGON
MT-2026-0151,NITTO,Electric tape Nitto,PCS,15000,TOKO SEMI CILEGON
